category,question,participants,total_usd,whale_pct,whale_sold_early,everyone_bailed,market_entry_yes,signal_payout_yes,outcome,signal_correct,favorite_correct
Geopolitics,"Will the text of the US-Iran agreement be released by June 17?",8,5757,0.40,1,0,0.365,0.368,1,0,0
Geopolitics,"US announces new Iran agreement/ceasefire extension by May 28?",8,11557,0.26,1,0,0.055,0.097,0,1,1
Geopolitics,"US x Iran diplomatic meeting by April 29, 2026?",8,8769,0.35,1,0,0.540,0.202,0,1,0
Geopolitics,"US x Iran diplomatic meeting by April 28, 2026?",8,15675,0.23,1,0,0.515,0.358,0,1,0
Geopolitics,"US announces new Iran agreement/ceasefire extension by May 30?",8,6233,0.32,1,0,0.155,0.108,0,1,1
Geopolitics,"US announces new Iran agreement/ceasefire extension by June 3?",8,4226,0.28,1,0,0.225,0.121,0,1,1
Geopolitics,"Will Trump visit China by May 15?",8,16434,0.65,0,0,0.730,0.925,1,1,1
Geopolitics,"US x Iran diplomatic meeting by April 27, 2026?",8,18514,0.45,1,1,0.465,0.360,0,1,1
Geopolitics,"Russia x Ukraine ceasefire by April 30, 2026?",8,21069,0.55,1,0,0.021,0.046,0,1,1
Other,"Starmer out by May 15, 2026?",8,37141,0.36,1,0,0.304,0.160,0,1,1
Geopolitics,"Trump announces US x Iran ceasefire over by June 30?",8,7298,0.71,0,0,0.115,0.071,0,1,1
Geopolitics,"Will Iran close its airspace by June 30?",8,6935,0.44,1,0,0.180,0.462,1,0,0
Geopolitics,"Iran agrees to unrestricted shipping through Hormuz by June 30?",8,26277,0.65,1,0,0.245,0.258,0,1,1
Geopolitics,"Will no qualifying diplomatic US-Iran meeting occur by June 30, 2026?",7,46309,0.79,0,0,0.091,0.108,0,1,1
Economy,"Will Judy Shelton be confirmed as Fed Chair?",7,227440,0.49,0,0,0.018,0.019,0,1,1
Geopolitics,"Israel closes its airspace by June 8?",7,17488,0.27,1,0,0.005,0.288,0,1,1
Geopolitics,"Israel announces Lebanon ceasefire extension by June 7?",7,9624,0.26,1,0,0.220,0.980,1,1,0
Geopolitics,"Will Ivan Cepeda Castro win the 2026 Colombian presidential election?",7,13345,0.68,0,0,0.175,0.254,0,1,1
Geopolitics,"Will the Iran ceasefire continue through May 26?",7,5262,0.46,1,0,0.925,0.685,0,0,0
Geopolitics,"Will Thomas Massie be the Republican nominee for KY-04?",7,54003,0.76,0,0,0.385,0.407,0,1,1
Geopolitics,"Israel strike on Yemen by June 30, 2026?",7,5894,0.44,1,0,0.105,0.218,0,1,1
Geopolitics,"Iran leadership change by June 30?",7,12340,0.43,0,0,0.053,0.125,0,1,1
Geopolitics,"Trump announces US x Iran ceasefire over by June 15?",7,10189,0.59,0,0,0.115,0.062,0,1,1
Geopolitics,"Will Donald Trump announce that the United States blockade of the Strait of Hormuz has been lifted by June 7, 2026?",7,4833,0.27,1,0,0.345,0.410,0,1,1
Geopolitics,"Will Trump agree to Iranian enrichment of uranium by June 30?",7,25483,0.65,0,0,0.048,0.058,0,1,1
Geopolitics,"US announces new Iran agreement/ceasefire extension by July 31?",7,22917,0.35,0,0,0.615,0.779,1,1,1
Geopolitics,"Will Ed Gallrein be the Republican nominee for KY-04?",6,12612,0.34,0,0,1.000,0.656,1,1,1
Sports,"Will Japan win the 2026 FIFA World Cup?",6,85092,0.35,0,0,0.018,0.030,0,1,1
Geopolitics,"Israel x Iran permanent peace deal by June 30, 2026?",6,18598,0.31,1,0,0.042,0.131,0,1,1
Geopolitics,"Will Rebecca Shepherd win the 2026 Makerfield by-election?",6,165804,0.62,0,0,0.007,0.048,0,1,1
Geopolitics,"Israel closes its airspace by May 31?",6,21094,0.92,0,0,0.100,0.326,0,1,1
Geopolitics,"Will the Iran ceasefire continue through June 7?",6,27782,0.83,0,0,0.595,0.213,0,1,0
Geopolitics,"Will Trump restart Project Freedom by May 31?",6,30282,0.71,0,0,0.375,0.251,0,1,1
Other,"Will Rory McIlroy win the 2026 Masters tournament?",6,24573,0.49,0,0,0.705,0.698,1,1,1
Geopolitics,"US x Iran diplomatic meeting by June 19, 2026?",6,4151,0.63,1,0,0.841,0.683,0,0,0
Geopolitics,"Israel x Hezbollah permanent peace deal by June 15, 2026?",6,3544,0.76,1,0,0.195,0.060,0,1,1
Geopolitics,"Israel closes its airspace by June 9?",6,3442,0.63,1,0,0.035,0.096,0,1,1
Geopolitics,"US announces new Iran agreement/ceasefire extension by May 27?",6,4223,0.25,1,0,0.085,0.035,0,1,1
Geopolitics,"Will Donald Trump publicly insult Benjamin Netanyahu by June 30, 2026?",6,12084,0.79,1,1,0.150,0.469,1,0,0
Geopolitics,"Will the text of the US-Iran agreement be released by June 16? ",6,19896,0.88,0,0,0.080,0.341,0,1,1
Geopolitics,"Will Karen Bass & Spencer Pratt advance to the second round of the 2026 Los Angeles mayoral election?",6,12803,0.40,0,0,0.016,0.337,0,1,1
Geopolitics,"US x Iran permanent peace deal by May 22, 2026?",6,8463,0.69,1,1,0.055,0.048,0,1,1
Geopolitics,"Will J.D. Vance have a diplomatic meeting with Iran by April 30?",6,3970,0.46,1,1,0.530,0.489,0,1,0
Geopolitics,"Will Reza Pahlavi enter Iran by June 30?",6,52654,0.85,0,0,0.007,0.052,0,1,1
Other,"Netanyahu out by June 30?",6,9130,0.52,1,0,0.011,0.104,0,1,1
Geopolitics,"US announces new Iran agreement/ceasefire extension by June 16?",6,11224,0.74,1,0,0.340,0.688,1,1,0
Other,"Will 40 ships transit the Strait of Hormuz on any day by June 30, 2026?",6,10854,0.51,1,0,0.495,0.674,1,1,0
Other,"Will Morocco win on 2026-06-24?",5,281712,0.87,0,0,0.825,0.656,1,1,1
Other,"Will Morocco win on 2026-06-19?",5,454873,0.92,1,0,0.555,0.612,1,1,1
Other,"Will Finland win Eurovision 2026?",5,38907,0.73,0,0,0.401,0.166,0,1,1
Geopolitics,"US and Iran sign an agreement by June 15, 2026?",5,1215,0.47,1,1,0.390,0.050,1,0,0
Other,"Will WTI Crude Oil (WTI) hit (HIGH) $110 in May?",5,7660,0.45,1,1,0.475,0.097,0,1,1
Other,"Will Claude Fable 5 be restored for US customers by June 26?",5,8198,0.60,0,0,0.260,0.151,0,1,1
Geopolitics,"Will Rafael López Aliaga win the 2026 Peruvian presidential election?",5,29916,0.49,1,0,0.025,0.238,0,1,1
Other,"Will Arsenal FC win on 2026-04-29?",5,153130,0.85,0,0,0.395,0.431,0,1,1
Other,"Will WTI Crude Oil (WTI) hit (LOW) $85 in May?",5,23835,0.76,1,1,0.435,0.310,0,1,1
Other,"Will Crude Oil (CL) hit (HIGH) $105 by end of June?",5,9566,0.79,1,1,0.026,0.282,0,1,1
Geopolitics,"Israel x Hezbollah permanent peace deal by June 30, 2026?",5,21300,0.95,1,1,0.210,0.130,0,1,1
Geopolitics,"Iran agrees to surrender enriched uranium stockpile by May 31, 2026?",5,10335,0.46,0,0,0.097,0.193,0,1,1
Geopolitics,"Will the next diplomatic US-Iran meeting be in Qatar?",5,3256,0.78,0,0,0.181,0.108,0,1,1
Sports,"Will Neymar play in the World Cup?",5,18548,0.90,1,0,0.840,0.857,1,1,1
Geopolitics,"Will Trump agree to Iranian transit fees in the Strait of Hormuz by May 31?",5,36499,0.91,1,0,0.046,0.044,0,1,1
Geopolitics,"Iran agrees to unrestricted shipping through Hormuz in April?",5,11781,0.68,0,0,0.090,0.182,0,1,1
Geopolitics,"Will Trump agree to Iranian transit fees in the Strait of Hormuz in April?",5,23385,0.91,0,0,0.090,0.081,0,1,1
Geopolitics,"Will another country conduct military action against Iran by April 30, 2026?",5,13350,0.69,0,0,0.260,0.174,0,1,1
Geopolitics,"Will Trump agree to Iranian transit fees in the Strait of Hormuz by June 30?",5,1209,0.44,1,0,0.158,0.067,0,1,1
Geopolitics,"Israel closes its airspace by June 10?",5,4151,0.47,0,0,0.045,0.056,0,1,1
Other,"US obtains Iranian enriched uranium by June 30?",5,18701,0.48,1,0,0.005,0.108,0,1,1
Geopolitics,"Will Trump agree to Iranian oil sanction relief by May 31?",5,5592,0.43,1,0,0.260,0.349,0,1,1
Geopolitics,"Will Trump agree to Iranian oil sanction relief by June 30?",5,9758,0.51,0,0,0.255,0.599,1,1,0
Geopolitics,"Will Donald Trump announce that the United States blockade of the Strait of Hormuz has been lifted by July 31, 2026?",5,6031,0.74,0,0,0.630,0.607,1,1,1
Sports,"Counter-Strike: Vitality vs Team Falcons (BO3) - IEM Cologne Major Playoffs",5,1285,0.35,1,0,0.705,0.535,0,0,0
